TimeStamp, Electrode, BrainWave, Value
13:51:16.290200,P7,Low_Beta,0.605877558270549,
13:51:16.290200,P7,High_Beta,0.911631759924046,
13:51:16.290200,P7,Gamma,2.2126592078572,
13:51:16.290200,P8,Theta,5.86453761789289,
13:51:16.290200,P8,Alpha,2.11487863871743,
13:51:16.290200,P8,Low_Beta,2.19571257774688,
13:51:16.290200,P8,High_Beta,3.05824658340631,
13:51:16.290200,P8,Gamma,7.64086395182418,
13:51:16.290200,O1,Theta,1.3603663063036,
13:51:16.290200,O1,Alpha,0.586313580591083,
13:51:16.290200,O1,Low_Beta,0.485919075934474,
13:51:16.290200,O1,High_Beta,0.590078698714697,
13:51:16.290200,O1,Gamma,1.2843390931119,
13:51:16.290200,O2,Theta,9.98824969357319,
13:51:16.290200,O2,Alpha,3.84151233267069,
13:51:16.290200,O2,Low_Beta,3.46165572042097,
13:51:16.290200,O2,High_Beta,5.07866618617026,
13:51:16.290200,O2,Gamma,10.6184161921709,
13:51:16.427682,AF3,Theta,0.784522849105482,
13:51:16.427682,AF3,Alpha,0.269719394248002,
13:51:16.427682,AF3,Low_Beta,0.268918243400984,
13:51:16.427682,AF3,High_Beta,0.163448003049605,
13:51:16.427682,AF3,Gamma,0.15573964898639,
13:51:16.427682,AF4,Theta,1.00491385980472,
13:51:16.427682,AF4,Alpha,0.872482426341598,
13:51:16.427682,AF4,Low_Beta,1.77563851186207,
13:51:16.427682,AF4,High_Beta,1.67348647522099,
13:51:16.427682,AF4,Gamma,4.19505132012036,
13:51:16.427682,T7,Theta,2.14673500800081,
13:51:16.427682,T7,Alpha,0.694200748459367,
13:51:16.427682,T7,Low_Beta,0.571108026167645,
13:51:16.427682,T7,High_Beta,1.00291761697007,
13:51:16.427682,T7,Gamma,2.5517659553686,
13:51:16.427682,T8,Theta,9.25907285351692,
13:51:16.427682,T8,Alpha,3.4138088186286,
13:51:16.427682,T8,Low_Beta,2.37385697984917,
13:51:16.427682,T8,High_Beta,5.37180810817456,
13:51:16.427682,T8,Gamma,12.9943130334293,
13:51:16.427682,F3,Theta,9.0270646130775,
13:51:16.427682,F3,Alpha,3.87112587290599,
13:51:16.427682,F3,Low_Beta,2.10876549501653,
13:51:16.427682,F3,High_Beta,5.16086240534185,
13:51:16.427682,F3,Gamma,12.7697217284416,
13:51:16.427682,F4,Theta,0.420770648825581,
13:51:16.427682,F4,Alpha,0.273804942889716,
13:51:16.427682,F4,Low_Beta,0.407236871005603,
13:51:16.427682,F4,High_Beta,0.162647782349615,
13:51:16.427682,F4,Gamma,0.238667944614208,
13:51:16.427682,F7,Theta,0.351968344986758,
13:51:16.427682,F7,Alpha,0.218817516601517,
13:51:16.427682,F7,Low_Beta,0.10761181887844,
13:51:16.427682,F7,High_Beta,0.123223606333694,
13:51:16.427682,F7,Gamma,0.258703515285792,
13:51:16.427682,F8,Theta,3.09575582278377,
13:51:16.427682,F8,Alpha,1.69654121762433,
13:51:16.427682,F8,Low_Beta,2.43668940765788,
13:51:16.427682,F8,High_Beta,3.54255795730703,
13:51:16.427682,F8,Gamma,8.52252419460991,
13:51:16.427682,FC5,Theta,0.18589906132356,
13:51:16.427682,FC5,Alpha,0.140463041898974,
13:51:16.427682,FC5,Low_Beta,0.190182932725911,
13:51:16.427682,FC5,High_Beta,0.112696737302363,
13:51:16.427682,FC5,Gamma,0.152566996980158,
13:51:16.427682,FC6,Theta,1.50104143984572,
13:51:16.427682,FC6,Alpha,0.825663473796339,
13:51:16.427682,FC6,Low_Beta,1.70995489574265,
13:51:16.427682,FC6,High_Beta,1.35635301008015,
13:51:16.427682,FC6,Gamma,4.62117739586096,
13:51:16.427682,P7,Theta,1.97498475818553,
13:51:16.427682,P7,Alpha,0.910118880113289,
13:51:16.427682,P7,Low_Beta,0.640085507969028,
13:51:16.427682,P7,High_Beta,0.970150590153044,
13:51:16.427682,P7,Gamma,2.2014234157402,
13:51:16.427682,P8,Theta,5.09182341102307,
13:51:16.427682,P8,Alpha,1.72473496230316,
13:51:16.427682,P8,Low_Beta,1.8842336036184,
13:51:16.427682,P8,High_Beta,2.85334946516869,
13:51:16.427682,P8,Gamma,7.76247847582179,
13:51:16.427682,O1,Theta,1.13604476087204,
13:51:16.427682,O1,Alpha,0.445952640310257,
13:51:16.427682,O1,Low_Beta,0.458547008721369,
13:51:16.427682,O1,High_Beta,0.656613230050197,
13:51:16.427682,O1,Gamma,1.32161131124614,
13:51:16.427682,O2,Theta,7.7804783379046,
13:51:16.427682,O2,Alpha,3.84500723185253,
13:51:16.427682,O2,Low_Beta,3.19206425184372,
13:51:16.427682,O2,High_Beta,4.68730831282102,
13:51:16.427682,O2,Gamma,10.9167576303939,
13:51:16.597091,AF3,Theta,0.701510861865594,
13:51:16.597091,AF3,Alpha,0.241240167993078,
13:51:16.597091,AF3,Low_Beta,0.238422691932843,
13:51:16.597091,AF3,High_Beta,0.169717776676557,
13:51:16.597091,AF3,Gamma,0.180561598380106,
13:51:16.597091,AF4,Theta,1.06389026145059,
13:51:16.597091,AF4,Alpha,1.07990372258859,
13:51:16.597091,AF4,Low_Beta,1.65419546179489,
13:51:16.597091,AF4,High_Beta,1.67415805490353,
13:51:16.597091,AF4,Gamma,4.48363872104485,
13:51:16.597091,T7,Theta,1.90244482626582,
13:51:16.597091,T7,Alpha,0.642277905670419,
13:51:16.597091,T7,Low_Beta,0.589879191138434,
13:51:16.597091,T7,High_Beta,1.11851442180277,
13:51:16.597091,T7,Gamma,2.92200065950877,
13:51:16.597091,T8,Theta,9.03592378758112,
13:51:16.597091,T8,Alpha,2.9832030440976,
13:51:16.597091,T8,Low_Beta,2.61048866228215,
13:51:16.597091,T8,High_Beta,5.31487640500816,
13:51:16.597091,T8,Gamma,14.3092181983056,
13:51:16.597091,F3,Theta,6.73800487429024,
13:51:16.597091,F3,Alpha,4.02205837124531,
13:51:16.597091,F3,Low_Beta,2.66166448035723,
13:51:16.597091,F3,High_Beta,5.33812292823646,
13:51:16.597091,F3,Gamma,14.9241878258795,
13:51:16.597091,F4,Theta,0.244443102973487,
13:51:16.597091,F4,Alpha,0.102550139490305,
13:51:16.597091,F4,Low_Beta,0.270907321376167,
13:51:16.597091,F4,High_Beta,0.122512806233369,
